index,slug,name,method,endpoint,category,category_label,billing,qps,free_quota_logged_in,free_quota_anonymous,required_query_params,optional_query_params,marketplace_url,docs_url,raw_docs_url,openapi_operation_id,summary,growth_tier,growth_action,promotion_angle,known_calls_30d,known_errors_30d,known_error_rate
30,crazy-thursday,疯狂星期四文案,GET,https://v1.apizero.cn/api/crazy-thursday,life,生活服务,免费试用 · 单次 0 积分,5 / s,20000,10000,,"action, category, count",https://apizero.cn/marketplace/crazy-thursday,https://apizero.cn/aidocs/crazy-thursday,https://apizero.cn/aidocs/crazy-thursday/raw.md,crazy_thursday,随机返回一段脑洞大开的 KFC「疯狂星期四」文学。内置 52 条精选文案，覆盖情感/搞笑/职场/文艺/学术/古风/悬疑/科幻/鸡汤/日常 10 个分类。支持随机、批量、分类列表与疯四倒计时。,D-inventory,先收录,先放入接口库，等站内调用量或搜索需求上来后再写专项内容。,,,
31,content-extract,网页正文提取,GET,https://v1.apizero.cn/api/content-extract,dev,开发工具,免费试用 · 单次 0 积分,5 / s,10000,5000,url,,https://apizero.cn/marketplace/content-extract,https://apizero.cn/aidocs/content-extract,https://apizero.cn/aidocs/content-extract/raw.md,content_extract,从新闻、博客、公众号等网页抽取主体正文，自动去除导航/侧栏/广告/评论。基于文本密度算法，同时返回标题、发布时间、配图列表、字数与预估阅读时长。,B-support,补充推广,网页正文提取；适合 RAG、AI 摘要、内容采集前清洗。,,,
32,visits-counter,访问量计数器,GET,https://v1.apizero.cn/api/visits-counter,dev,开发工具,免费试用 · 单次 0 积分,10 / s,1000,500,,"site, name, mode, theme, format, length, no_increment",https://apizero.cn/marketplace/visits-counter,https://apizero.cn/aidocs/visits-counter,https://apizero.cn/aidocs/visits-counter/raw.md,visits_counter,SVG/JSON访问量计数器，支持多套动效主题卡片（咒纹夜/术式蓝焰/五条悟风/无量空处/宿傩咒印等），可嵌入GitHub README或网站。按站点隔离计数。,D-inventory,先收录,先放入接口库，等站内调用量或搜索需求上来后再写专项内容。,,,
33,doubao-image,豆包图片生成,POST,https://v1.apizero.cn/api/doubao-image,ai,AI 能力,按次付费 · 月套餐 · 单次 0 积分,2 / s,20,1,,,https://apizero.cn/marketplace/doubao-image,https://apizero.cn/aidocs/doubao-image,https://apizero.cn/aidocs/doubao-image/raw.md,doubao_image,基于字节跳动豆包 Seedream 3.0 大模型的高质量文生图服务，支持中英文混合提示词，平均 3~4 秒出图。 【核心能力】 - 影视级画质：擅长摄影、插画、电影感构图与中文场景理解 - 多种尺寸：方形 1024×1024、宽屏 1792×1024、竖屏 1024×1792 等 6 种主流分辨率 - 中文友好：原生理解中文语意，无需翻译为英文也能精准生成 【适用场景】 - 内容创作：插图、海报、Banner、社交媒体图片 - 营销素材：广告图、商品概念图、宣传背景 - 设计辅助：灵感参考、构图草稿、风格化展示 - 应用集成：聊天机器人配图、自媒体配图、AI 应用接入 【提示词建议】 - 推荐结构：主体 + 风格 + 构图 + 光线 + 氛围 - 示例：「一只赛博朋克猫在雨夜的霓虹街头，低角度，电影感，Wong Kar-Wai 风格」 - 越具体描述效果越好，可以指定材质、镜头、色调、画家风格等 - 建议 prompt 长度控制在 50~300 字符之间 【⚠️ 重要提示】 返回的图片 URL 是字节云 TOS 临时直链，**24 小时后失效**。请务必在有效期内： - 下载保存到本地 - 或转存到自己的对象存储（阿里 OSS / 腾讯 COS 等） - 不要长期引用此直链 【计费说明】 - 方形 1024×1024：约 4096 tokens - 宽屏 1792×1024 / 1080p：约 7168 tokens - 实际点数扣费请参考下方定价,D-inventory,先收录,先放入接口库，等站内调用量或搜索需求上来后再写专项内容。,,,
34,dns-check,DNS 劫持检测,GET,https://v1.apizero.cn/api/dns-check,dev,开发工具,免费试用 · 单次 0 积分,5 / s,2000,50,domain,,https://apizero.cn/marketplace/dns-check,https://apizero.cn/aidocs/dns-check,https://apizero.cn/aidocs/dns-check/raw.md,dns_check,通过 4 家公共 DoH（DNS over HTTPS）服务器并发查询同一域名，对比解析结果检测 DNS 是否被运营商劫持、终端 hosts 篡改或遭遇异常 GeoDNS 分流。 服务器列表： • AliDNS（阿里云 - 中国） • DNSPod（腾讯 - 中国） • 360 安全 DNS（中国） • Cloudflare（美国 - 在中国大陆服务器侧可能超时，会被标记为 timeout） 特性： • A + AAAA 记录同时查询（IPv4 / IPv6） • 提取 CNAME 链路（CDN 跳转可见） • TTL 信息汇总（缓存提示） • 智能风险分级算法：safe / safe_with_geodns / suspicious / hijack_likely / unknown • 支持各类输入：domain / https://domain / domain:port / domain/path（自动剥离）,D-inventory,先收录,先放入接口库，等站内调用量或搜索需求上来后再写专项内容。,,,
35,email-check,邮箱地址检测,GET,https://v1.apizero.cn/api/email-check,kyc,身份核验,免费试用 · 单次 0 积分,10 / s,500,100,email,,https://apizero.cn/marketplace/email-check,https://apizero.cn/aidocs/email-check,https://apizero.cn/aidocs/email-check/raw.md,email_check,"综合性邮箱质量评估接口，一次请求完成 6 项检测： ① RFC 5322 格式校验 ② 临时/一次性邮箱检测（基于 72,345 条开源域名库，3 个数据源合并去重） ③ MX 记录验证（用 AliDNS DoH，避开 PHP getmxrr 不稳定） ④ 拼写纠正（gmial.com → 提示 gmail.com） ⑤ 服务商识别（QQ邮箱/Gmail/网易/Outlook 等 40+ 主流邮箱） ⑥ 综合风险评分 0-100，附详细原因清单 典型用例：用户注册时的反垃圾邮箱过滤、邮件营销列表清洗、KYC 风控辅助。",D-inventory,先收录,先放入接口库，等站内调用量或搜索需求上来后再写专项内容。,,,
36,bus-realtime,实时公交到站,POST,https://v1.apizero.cn/api/bus-realtime,life,生活服务,免费试用 · 单次 0 积分,10 / s,1000,500,,,https://apizero.cn/marketplace/bus-realtime,https://apizero.cn/aidocs/bus-realtime,https://apizero.cn/aidocs/bus-realtime/raw.md,bus_realtime,输入城市和站名，实时查询该站各公交线路的到站信息：车牌、预计到站时间、剩余站数、票价、终点方向。 覆盖全国数百城市，支持双向查询（direction）。数据实时、结构清晰，适用于出行助手、公交小程序、生活服务集成等场景。完全免费。,B-support,补充推广,实时公交 API；适合城市出行小程序、通勤提醒工具。,,,
37,wallpaper,随机壁纸,GET,https://v1.apizero.cn/api/wallpaper,life,生活服务,免费试用 · 单次 0 积分,20 / s,10000,2000,,"category, resolution, count",https://apizero.cn/marketplace/wallpaper,https://apizero.cn/aidocs/wallpaper,https://apizero.cn/aidocs/wallpaper/raw.md,wallpaper,"对接 360 公开壁纸库，16 个分类 × 7 种分辨率（含 1920×1080 原图）随机壁纸。 • **16 个分类**：美女 / 风景 / 游戏 / 影视 / 时尚 / 明星 / 汽车 / 萌宠 / 清新 / 体育 / 萌娃 / 军事 / 动漫 / 日历 / 爱情 / 格言 • **7 种分辨率**：1920×1080（原图）/ 1600×900 / 1440×900 / 1366×768 / 1280×800 / 1280×1024 / 1024×768 • **修复源码 BUG**：源码注释默认 1920×1080 但代码默认 1600×900 且 resMap 缺 1920×1080 → 现已用上游 url 字段返回真正 1920×1080 原图 • **修复源码 BUG**：源码 tag 字段返回内部标记（如 `_category_海洋天堂_`）不可读 → 现已拆分 utag 输出为 tags 数组（如 `['海洋天堂','日出东方','松树','海岛']`） • **修复源码 BUG**：上游图片 URL 是 http:// → 现已强制改写为 https://，避免 HTTPS 站点混合内容警告 • **缓存优化**：上游响应按 (cid, start_bucket) 缓存 1h，shuffle 在本地做，**节省 80% 上游请求同时保证随机性** • **典型场景**：登录页背景 / 桌面壁纸应用 / 文章封面图 / 小程序首页轮播",D-inventory,先收录,先放入接口库，等站内调用量或搜索需求上来后再写专项内容。,,,
38,text-similarity,文本相似度,POST,https://v1.apizero.cn/api/text-similarity,dev,开发工具,免费试用 · 单次 0 积分,10 / s,50000,10000,,,https://apizero.cn/marketplace/text-similarity,https://apizero.cn/aidocs/text-similarity,https://apizero.cn/aidocs/text-similarity/raw.md,text_similarity,纯本地计算的文本相似度比对，输入两段文本（每段 ≤ 5000 字）输出 4 种相似度指标 + 加权综合评分 + 5 级评级。 • **零延迟零成本**：纯 PHP 本地计算，无外部上游依赖，平均响应 < 100ms • **4 种指标**：余弦相似度（35%）+ Jaccard 系数（25%）+ 编辑距离归一化（20%）+ LCS 比率（20%） • **5 级评级**：几乎相同 / 高度相似 / 中度相似 / 轻度相似 / 差异较大 • **修复源码 bug**：自实现 mb_levenshtein 字符级编辑距离，杜绝 PHP 内置 levenshtein 按字节计算导致的 85 汉字崩溃问题 • **超长保护**：超过 500 字符自动截取并按比例还原，5000×5000 字符比对约 60-80ms • **典型场景**：评论查重、AI 生成内容检测、多语言翻译质量评估、客服话术匹配,D-inventory,先收录,先放入接口库，等站内调用量或搜索需求上来后再写专项内容。,,,
39,unshort,短链还原,GET,https://v1.apizero.cn/api/unshort,dev,开发工具,免费试用 · 单次 0 积分,5 / s,2000,300,url,max_hops,https://apizero.cn/marketplace/unshort,https://apizero.cn/aidocs/unshort,https://apizero.cn/aidocs/unshort/raw.md,unshort,完整还原一个短链的全部跳转链路，输出每跳的状态码、跳转方式（Location/Meta-Refresh）和耗时。适合钓鱼链接溯源、推广短链分析、二维码内容核对。,D-inventory,先收录,先放入接口库，等站内调用量或搜索需求上来后再写专项内容。,,,
40,risk-score,综合风控评分,POST,https://v1.apizero.cn/api/risk-score,kyc,身份核验,按次付费 · 单次 0 积分,2 / s,200,10,,,https://apizero.cn/marketplace/risk-score,https://apizero.cn/aidocs/risk-score,https://apizero.cn/aidocs/risk-score/raw.md,risk_score,输入手机号 / IP / 邮箱，秒级输出 0~100 风险分与放行/二次验证/拦截建议，专治注册薅羊毛、批量养号、营销作弊。三维信号：手机号识别虚拟运营商与物联网卡号段，IP 识别代理/VPN/机房与风险分，邮箱识别临时邮箱与 MX 异常。一次调用拿到可直接用于业务决策的结论。,D-inventory,先收录,先放入接口库，等站内调用量或搜索需求上来后再写专项内容。,,,
41,nine-grid-cutter,九宫格切图,POST,https://v1.apizero.cn/api/nine-grid-cutter,dev,开发工具,免费试用 · 单次 0 积分,2 / s,5000,2000,,,https://apizero.cn/marketplace/nine-grid-cutter,https://apizero.cn/aidocs/nine-grid-cutter,https://apizero.cn/aidocs/nine-grid-cutter/raw.md,nine_grid_cutter,上传一张图片（multipart 文件 / base64 / URL 三选一），自动居中裁切为正方形后均分为 N×N 宫格小图，按朋友圈发图顺序返回（左到右、上到下编号 1..N²）。支持 2×2 / 3×3 / 4×4，可设置切片间留白，输出 base64 数组或直接下载 zip。,D-inventory,先收录,先放入接口库，等站内调用量或搜索需求上来后再写专项内容。,,,
42,mobile,手机号归属地,GET,https://v1.apizero.cn/api/mobile,life,生活服务,免费试用 · 单次 0 积分,10 / s,30000,5000,mobile,,https://apizero.cn/marketplace/mobile,https://apizero.cn/aidocs/mobile,https://apizero.cn/aidocs/mobile/raw.md,mobile,通过 11 位中国大陆手机号查询归属省份/城市与运营商，支持移动/联通/电信主流号段及虚拟运营商号段（170/171/174 等）。 • 严格 11 位手机号校验：`^1[3-9]\d{9}$`，非法号码直接返回 4000 • 双形态响应：查询成功 → is_found=true 含 province/carrier；号段未收录 → is_found=false 字段为空（非错误，前端可直接 if 判断） • 缓存策略：成功结果 7 天（号段分配静态稳定）；未查询到 1 小时（避免长期误判新放号段） • 隐私保护：错误日志中手机号自动脱敏（138****0000）,D-inventory,先收录,先放入接口库，等站内调用量或搜索需求上来后再写专项内容。,,,
43,icp,ICP 备案查询,GET,https://v1.apizero.cn/api/icp,dev,开发工具,免费试用 · 单次 0 积分,5 / s,100,30,domain,,https://apizero.cn/marketplace/icp,https://apizero.cn/aidocs/icp,https://apizero.cn/aidocs/icp/raw.md,icp,通过域名查询工信部 ICP 备案信息，返回备案号、网站名称、主办单位、单位性质（企业/个人/事业单位等）和审核通过时间。 • 自动域名清洗：自动剥离 https?:// 协议、/path 路径、:port 端口、www. 前缀，无论传入 https://www.baidu.com/abc 还是 baidu.com 都正确识别 • 已备案 → is_filed=true，返回完整 6 字段；未备案/境外/已注销 → is_filed=false，返回空字段（非错误，便于前端 if 判断） • 缓存策略：已备案 24 小时缓存（变更频率低），未备案 1 小时缓存（避免新备案被长期误判）,D-inventory,先收录,先放入接口库，等站内调用量或搜索需求上来后再写专项内容。,,,
44,bencao,本草纲目·中药查询,GET,https://v1.apizero.cn/api/bencao,life,生活服务,免费试用 · 单次 0 积分,10 / s,10000,1000,msg,,https://apizero.cn/marketplace/bencao,https://apizero.cn/aidocs/bencao,https://apizero.cn/aidocs/bencao/raw.md,bencao,传统中药材知识查询接口，覆盖《本草纲目》及常见中药材数据。输入药材名称（如「人参」「丁香」「甘草」「枸杞」），返回该药材的释名、气味、主治、附方等详细记载。 【典型场景】 - 中医养生 / 食疗 App 的药材百科 - 中药知识科普类小程序 - AI 中医问诊辅助参考 - 古籍数字化项目 - 国学 / 中医文化教学 【调用示例】 GET /api/bencao?msg=人参 GET /api/bencao?msg=丁香 GET /api/bencao?msg=甘草 【模糊匹配】 - 精确名称查得到 → 直接返回详情（matched=exact） - 找不到时返回 4040 + suggestions 数组（最多 10 个相关建议） - 比如查「人参枸杞」会建议「人参、枸杞」等单味药 【⚠️ 数据来源说明】 本接口数据整理自《本草纲目》及网络公开整理资料，仅供学习参考；中医药疗用请遵医嘱。,D-inventory,先收录,先放入接口库，等站内调用量或搜索需求上来后再写专项内容。,,,
45,address-parse,中文地址解析,POST,https://v1.apizero.cn/api/address-parse,geo,地理位置,免费试用 · 单次 0 积分,20 / s,1000,100,,,https://apizero.cn/marketplace/address-parse,https://apizero.cn/aidocs/address-parse,https://apizero.cn/aidocs/address-parse/raw.md,address_parse,一行 API 从中文地址字符串中提取「省市区街道 + 详细地址 + 姓名 + 手机号 + 邮编」。 适用场景：电商收货地址自动拆分、快递下单页智能填充、CRM 客户资料清洗、办公地址结构化入库。 特点：纯本地正则算法，无任何上游依赖，毫秒级响应；支持 34 个省级行政区及其简称识别（如「北京」→「北京市」、「新疆」→「新疆维吾尔自治区」）；支持快递场景下「张三 138xxxxxxxx 上海市浦东新区xx路xx号 200000」这类混合输入的自动拆分。,D-inventory,先收录,先放入接口库，等站内调用量或搜索需求上来后再写专项内容。,,,
46,hash,哈希加密计算,GET,https://v1.apizero.cn/api/hash,dev,开发工具,免费试用 · 单次 0 积分,20 / s,1000,200,text,"algorithm, encoding, hmac_key",https://apizero.cn/marketplace/hash,https://apizero.cn/aidocs/hash,https://apizero.cn/aidocs/hash/raw.md,hash,哈希加密计算，支持 12 种主流算法，可一次性返回全部，也可指定单个算法。支持 HMAC 签名模式与 hex / base64 双输出编码，毫秒级返回。 • 通用摘要：MD5、SHA-1、SHA-256、SHA-384、SHA-512 • 现代抗碰撞：SHA3-256、SHA3-512、RIPEMD-160、Whirlpool • 校验和：CRC32、CRC32B、Adler-32 • HMAC 签名：传入 hmac_key 自动切换为 HMAC 模式（用于 API 签名 / 防篡改场景） • 输出编码：hex（默认，更可读）/ base64（节省 25% 字节，适合 URL 传输） 纯本地计算，零外部上游依赖，毫秒级响应。HMAC 密钥仅参与计算，不写日志、不缓存、不回显。,D-inventory,先收录,先放入接口库，等站内调用量或搜索需求上来后再写专项内容。,,,
47,yiyan,一言（简版）,GET,https://v1.apizero.cn/api/yiyan,life,生活服务,免费试用 · 单次 0 积分,20 / s,500000,200000,,format,https://apizero.cn/marketplace/yiyan,https://apizero.cn/aidocs/yiyan,https://apizero.cn/aidocs/yiyan/raw.md,yiyan,hitokoto 的精简版：纯文本随机一句，不带分类/出处。同时支持 format=text 直接返回纯文本（适合站点页脚、小程序欢迎语等装饰场景）。,D-inventory,先收录,先放入接口库，等站内调用量或搜索需求上来后再写专项内容。,,,
48,jd-address,京东地址解析（4 级）,POST,https://v1.apizero.cn/api/jd-address,geo,地理位置,免费试用 · 单次 0 积分,5 / s,1000,10,,,https://apizero.cn/marketplace/jd-address,https://apizero.cn/aidocs/jd-address,https://apizero.cn/aidocs/jd-address/raw.md,jd_address,调用京东地址智能识别接口，将自然语言地址解析为「省/市/区/镇」四级行政区划，并返回每级对应的京东 ID。比传统三级行政区划接口多一个「镇」级别。,D-inventory,先收录,先放入接口库，等站内调用量或搜索需求上来后再写专项内容。,,,
49,holiday,中国法定节假日,GET,https://v1.apizero.cn/api/holiday,life,生活服务,免费试用 · 单次 0 积分,20 / s,10000,1000,,,https://apizero.cn/marketplace/holiday,https://apizero.cn/aidocs/holiday,https://apizero.cn/aidocs/holiday/raw.md,holiday,查询中国法定节假日安排，包含放假日期和调休日期，支持2020-2030年,D-inventory,先收录,先放入接口库，等站内调用量或搜索需求上来后再写专项内容。,,,
50,invoice,增值税发票识别,POST,https://v1.apizero.cn/api/invoice,ocrdata,文档识别,免费试用 · 单次 0 积分,2 / s,300,50,,,https://apizero.cn/marketplace/invoice,https://apizero.cn/aidocs/invoice,https://apizero.cn/aidocs/invoice/raw.md,invoice,"增值税发票 OCR 识别，支持增值税专用发票、普通发票、电子普票，输出 22+ 个结构化字段。 • 双输入模式： - input_type=url：传入公网可访问的图片 URL（http/https） - input_type=base64：传入 base64 编码字符串（≤6MB，自动剥离 data:image/...;base64, 前缀） • 完整识别字段： - 发票基本：发票名称、代码、号码、开票日期、校验码、机器编号 - 金额：价税合计、税额、不含税金额、大写金额 - 购销方：名称、纳税人识别号、地址电话、开户行账号 - 经办人：收款人、复核人、开票人 - 商品明细：items 数组，含品名/规格/数量/单价/金额/税率/税额 - 备注与盖章信息 • OCR 结果缓存 1 小时（同图同结果），减少重复调用消耗。",D-inventory,先收录,先放入接口库，等站内调用量或搜索需求上来后再写专项内容。,,,
51,douyin-user,抖音用户公开信息,GET,https://v1.apizero.cn/api/douyin-user,content,内容娱乐,免费试用 · 单次 0 积分,5 / s,1000,200,url,,https://apizero.cn/marketplace/douyin-user,https://apizero.cn/aidocs/douyin-user,https://apizero.cn/aidocs/douyin-user/raw.md,douyin_user,通过抖音用户主页链接（短链或长链），获取昵称、头像、签名、作品数、粉丝数、关注数、获赞总数等公开信息。自动展开 v.douyin.com 短链。,D-inventory,先收录,先放入接口库，等站内调用量或搜索需求上来后再写专项内容。,,,
52,dns-query,DNS 记录查询,GET,https://v1.apizero.cn/api/dns-query,dev,开发工具,免费试用 · 单次 0 积分,10 / s,500,100,host,type,https://apizero.cn/marketplace/dns-query,https://apizero.cn/aidocs/dns-query,https://apizero.cn/aidocs/dns-query/raw.md,dns_query,查询域名的各类 DNS 记录，支持 A / AAAA / NS / CNAME / MX / TXT / CAA / SOA 共 8 种标准类型，以及 ANY（一次返回所有类型）。 ✨ 特色： • 不依赖第三方工具站，完全自建 — 3 家国内 DoH 并发（AliDNS / DNSPod / 360） • 所有记录结构化解析：MX 拆 priority/exchange、CAA 拆 flags/tag/value、SOA 拆 mname/serial/... • 多家结果合并去重 + 各记录标注来自哪些 DoH（sources 字段） • 兼容数字 qtype（如 1=A / 15=MX / 257=CAA），不破坏旧调用方式 • ANY 模式：单次请求拿到域名的全部 DNS 配置，免去多次查询,D-inventory,先收录,先放入接口库，等站内调用量或搜索需求上来后再写专项内容。,,,
53,cdn-ips,CDN 优选 IP,GET,https://v1.apizero.cn/api/cdn-ips,dev,开发工具,免费试用 · 单次 0 积分,10 / s,2000,100,"server, type",,https://apizero.cn/marketplace/cdn-ips,https://apizero.cn/aidocs/cdn-ips,https://apizero.cn/aidocs/cdn-ips/raw.md,cdn_ips,获取主流 CDN 服务商的官方公网 IP 段（CIDR）列表。当前支持 CloudFlare、AWS CloudFront、Gcore 三家，覆盖 IPv4 与 IPv6。常用于 CDN 优选、反向代理、流量分流、防火墙白名单等运维场景。,D-inventory,先收录,先放入接口库，等站内调用量或搜索需求上来后再写专项内容。,,,
54,webmeta,网页元数据提取,GET,https://v1.apizero.cn/api/webmeta,dev,开发工具,免费试用 · 单次 0 积分,5 / s,10000,5000,url,,https://apizero.cn/marketplace/webmeta,https://apizero.cn/aidocs/webmeta,https://apizero.cn/aidocs/webmeta/raw.md,webmeta,提取网页的标题、描述、关键词、OG/Twitter Card、favicon，并自动识别使用的 30+ 项技术栈（React/Vue/Next.js/WordPress/Cloudflare 等）。适合 SEO 检测、技术调研、链接预览。,B-support,补充推广,网页 Meta 信息提取；适合链接预览、采集前预处理、站点分析。,,,
55,bodyfat,体脂率与 BMI 计算,GET,https://v1.apizero.cn/api/bodyfat,life,生活服务,免费试用 · 单次 0 积分,20 / s,200000,100000,"weight, height, waist, gender",age,https://apizero.cn/marketplace/bodyfat,https://apizero.cn/aidocs/bodyfat,https://apizero.cn/aidocs/bodyfat/raw.md,bodyfat,一站式综合计算 BMI、体脂率（Deurenberg 公式）、基础代谢率（Mifflin-St Jeor）、理想体重区间、腰围身高比与健康风险评估。男女区分阈值，附带专业建议。,D-inventory,先收录,先放入接口库，等站内调用量或搜索需求上来后再写专项内容。,,,
56,traffic-weather-alert,限行天气联动,GET,https://v1.apizero.cn/api/traffic-weather-alert,life,生活服务,免费试用 · 单次 0 积分,3 / s,10000,5000,city,action,https://apizero.cn/marketplace/traffic-weather-alert,https://apizero.cn/aidocs/traffic-weather-alert,https://apizero.cn/aidocs/traffic-weather-alert/raw.md,traffic_weather_alert,输入国内城市拼音（兼容中文），返回当天的限行尾号。如遇暴雨/台风等恶劣天气，附加居家办公建议。覆盖北京、天津、成都、杭州、贵阳、长春 6 个限行城市，天气支持所有国内主要城市。,D-inventory,先收录,先放入接口库，等站内调用量或搜索需求上来后再写专项内容。,,,
57,ssl,SSL 证书检测,GET,https://v1.apizero.cn/api/ssl,dev,开发工具,免费试用 · 单次 0 积分,5 / s,10000,3000,domain,,https://apizero.cn/marketplace/ssl,https://apizero.cn/aidocs/ssl,https://apizero.cn/aidocs/ssl/raw.md,ssl,通过域名远程探测其 HTTPS/SSL 证书信息：颁发者、颁发机构、签名算法、覆盖域名、有效期、是否过期、距过期天数、SHA-1 指纹、远端 IP 等。 • 智能预处理：自动剥离 http(s):// 前缀、路径、查询串、端口、www. 子域 • 严格域名校验：合法域名格式（最长 253 字符 + RFC 1123 标签规则）才打上游 • 三态响应：有 SSL（is_ssl=true）→ 完整信息；无 SSL/连接失败 → is_ssl=false 其余字段 null；上游异常 → 502 • 字段标准化：上游 null 字段透传 null 不补 0；自动转 int/string 类型；is_expire 重命名 is_expired • 缓存策略：成功 6h（证书短期不变）；无证书 30min（避免错误域名反复打上游）,B-support,补充推广,SSL 证书查询；适合站长工具、证书到期提醒。,,,
58,idcard-region,身份证归属地查询,GET,https://v1.apizero.cn/api/idcard-region,kyc,身份核验,免费试用 · 单次 0 积分,10 / s,1000,300,idcard,,https://apizero.cn/marketplace/idcard-region,https://apizero.cn/aidocs/idcard-region,https://apizero.cn/aidocs/idcard-region/raw.md,idcard_region,根据身份证号前 6 位查询省/市/区三级归属地。支持完整 18 位身份证号自动脱敏回显。省份数据按需从 CDN 拉取并本地缓存 30 天，网关 Redis 缓存 24h。,D-inventory,先收录,先放入接口库，等站内调用量或搜索需求上来后再写专项内容。,,,
59,blood-type,血型遗传查询,GET,https://v1.apizero.cn/api/blood-type,life,生活服务,免费试用 · 单次 0 积分,20 / s,20000,10000,"father, mother",,https://apizero.cn/marketplace/blood-type,https://apizero.cn/aidocs/blood-type,https://apizero.cn/aidocs/blood-type/raw.md,blood_type,根据父母血型查询子女可能/不可能的血型。基于 ABO 显性遗传规律，覆盖全部 16 种父母组合，毫秒级返回。常用于科普教育、亲子问答场景。,D-inventory,先收录,先放入接口库，等站内调用量或搜索需求上来后再写专项内容。,,,
60,browser-fingerprint,浏览器指纹风控,POST,https://v1.apizero.cn/api/browser-fingerprint,dev,开发工具,免费试用 · 单次 0 积分,5 / s,200,50,,,https://apizero.cn/marketplace/browser-fingerprint,https://apizero.cn/aidocs/browser-fingerprint,https://apizero.cn/aidocs/browser-fingerprint/raw.md,browser_fingerprint,接收前端 SDK 采集的浏览器指纹（UA / Canvas / WebGL / 字体 / 时区 / 硬件 / WebDriver / 自动化标记等 20+ 维度），综合 9 类规则输出 0-100 风险评分、等级（safe/low/medium/high/critical）、命中的风险因子和异常项，识别爬虫、Headless Chrome、Selenium、虚拟机等异常环境。,D-inventory,先收录,先放入接口库，等站内调用量或搜索需求上来后再写专项内容。,,,
61,cf-dns,Cloudflare DNS 更新（DDNS）,POST,https://v1.apizero.cn/api/cf-dns,dev,开发工具,免费试用 · 单次 0 积分,5 / s,5000,1000,,,https://apizero.cn/marketplace/cf-dns,https://apizero.cn/aidocs/cf-dns,https://apizero.cn/aidocs/cf-dns/raw.md,cf_dns,通过用户自有的 Cloudflare API Token 更新指定域名的 A/AAAA 记录。家庭宽带 DDNS、办公室外网 IP 自动同步等场景必备。Token 仅作转发使用，不持久化。,D-inventory,先收录,先放入接口库，等站内调用量或搜索需求上来后再写专项内容。,,,
62,bank-card,银行卡BIN查询,GET,https://v1.apizero.cn/api/bank-card,finance,金融数据,免费试用 · 单次 0 积分,20 / s,10000,1000,,,https://apizero.cn/marketplace/bank-card,https://apizero.cn/aidocs/bank-card,https://apizero.cn/aidocs/bank-card/raw.md,bank_card,根据银行卡号前6位查询发卡行、卡类型、卡品牌等信息,D-inventory,先收录,先放入接口库，等站内调用量或搜索需求上来后再写专项内容。,,,
63,food-license,食品经营许可证识别,POST,https://v1.apizero.cn/api/food-license,ocrdata,文档识别,免费试用 · 单次 0 积分,2 / s,200,50,,,https://apizero.cn/marketplace/food-license,https://apizero.cn/aidocs/food-license,https://apizero.cn/aidocs/food-license/raw.md,food_license,上传食品经营许可证图片（URL 或 base64），自动识别证件字段，包括许可证编号、经营者名称、法定代表人、经营场所、主体业态、经营项目、有效期等共 13 个字段。适用于企业资质审核、供应链合规验证等场景。,D-inventory,先收录,先放入接口库，等站内调用量或搜索需求上来后再写专项内容。,,,
64,douban-movie,豆瓣电影信息,GET,https://v1.apizero.cn/api/douban-movie,content,内容娱乐,免费试用 · 单次 0 积分,5 / s,1000,300,id,,https://apizero.cn/marketplace/douban-movie,https://apizero.cn/aidocs/douban-movie,https://apizero.cn/aidocs/douban-movie/raw.md,douban_movie,通过豆瓣 ID 或 URL 查询电影详情：评分、导演、演员、类型、地区、片长、集数（剧集）、热门短评等。基于豆瓣公开 JSON API。,D-inventory,先收录,先放入接口库，等站内调用量或搜索需求上来后再写专项内容。,,,
